2019-10-30 13:50:48.475; [main]; Enter notification.Application; ArrayList notification.Application.getState()_ID_16863697104; ArrayList notification.Application.getState() 
2019-10-30 13:50:48.477; [main]; notification.Application; ArrayList notification.Application.getState()_ID_16863697104; ArrayList notification.Application.getState() 
2019-10-30 13:50:48.478; [main]; Enter notification.User; void notification.User.checknotif(ArrayList)_ID_16863697104; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:48.478; [main]; notification.User; void notification.User.checknotif(ArrayList)_ID_16863697104; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:48.479; [main]; notification.User; void notification.User.update(Application)_ID_16863697104; void notification.User.update(Application) 
2019-10-30 13:50:48.479; [main]; notification.Application; void notification.Application.Notify()_ID_16863697104; void notification.Application.Notify() 
2019-10-30 13:50:50.492; [main]; Enter notification.Application; void notification.Application.Deattach(Observer)_ID_16863697104; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:50.493; [main]; notification.Application; void notification.Application.Deattach(Observer)_ID_16863697104; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:50.495; [main]; notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697104; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:50.500; [main]; Enter notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697105; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:50.502; [main]; Enter notification.Application; void notification.Application.Attach(Observer)_ID_16863697105; void notification.Application.Attach(Observer) 
2019-10-30 13:50:50.503; [main]; notification.Application; void notification.Application.Attach(Observer)_ID_16863697105; void notification.Application.Attach(Observer) 
2019-10-30 13:50:50.504; [main]; Enter notification.Application; void notification.Application.Notify()_ID_16863697105; void notification.Application.Notify() 
2019-10-30 13:50:50.505; [main]; Enter notification.User; void notification.User.update(Application)_ID_16863697105; void notification.User.update(Application) 
2019-10-30 13:50:50.506; [main]; Enter notification.Application; ArrayList notification.Application.getState()_ID_16863697105; ArrayList notification.Application.getState() 
2019-10-30 13:50:50.506; [main]; notification.Application; ArrayList notification.Application.getState()_ID_16863697105; ArrayList notification.Application.getState() 
2019-10-30 13:50:50.509; [main]; Enter notification.User; void notification.User.checknotif(ArrayList)_ID_16863697105; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:50.511; [main]; notification.User; void notification.User.checknotif(ArrayList)_ID_16863697105; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:50.511; [main]; notification.User; void notification.User.update(Application)_ID_16863697105; void notification.User.update(Application) 
2019-10-30 13:50:50.511; [main]; notification.Application; void notification.Application.Notify()_ID_16863697105; void notification.Application.Notify() 
2019-10-30 13:50:52.524; [main]; Enter notification.Application; void notification.Application.Deattach(Observer)_ID_16863697105; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:52.526; [main]; notification.Application; void notification.Application.Deattach(Observer)_ID_16863697105; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:52.527; [main]; notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697105; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:52.530; [main]; Enter notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697106; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:52.535; [main]; Enter notification.Application; void notification.Application.Attach(Observer)_ID_16863697106; void notification.Application.Attach(Observer) 
2019-10-30 13:50:52.536; [main]; notification.Application; void notification.Application.Attach(Observer)_ID_16863697106; void notification.Application.Attach(Observer) 
2019-10-30 13:50:52.538; [main]; Enter notification.Application; void notification.Application.Notify()_ID_16863697106; void notification.Application.Notify() 
2019-10-30 13:50:52.539; [main]; Enter notification.User; void notification.User.update(Application)_ID_16863697106; void notification.User.update(Application) 
2019-10-30 13:50:52.543; [main]; Enter notification.Application; ArrayList notification.Application.getState()_ID_16863697106; ArrayList notification.Application.getState() 
2019-10-30 13:50:52.549; [main]; notification.Application; ArrayList notification.Application.getState()_ID_16863697106; ArrayList notification.Application.getState() 
2019-10-30 13:50:52.550; [main]; Enter notification.User; void notification.User.checknotif(ArrayList)_ID_16863697106; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:52.551; [main]; notification.User; void notification.User.checknotif(ArrayList)_ID_16863697106; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:52.552; [main]; notification.User; void notification.User.update(Application)_ID_16863697106; void notification.User.update(Application) 
2019-10-30 13:50:52.552; [main]; notification.Application; void notification.Application.Notify()_ID_16863697106; void notification.Application.Notify() 
2019-10-30 13:50:54.566; [main]; Enter notification.Application; void notification.Application.Deattach(Observer)_ID_16863697106; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:54.566; [main]; notification.Application; void notification.Application.Deattach(Observer)_ID_16863697106; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:54.567; [main]; notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697106; void notification.Application.addnotif(Notification, Observer) 
